rg14.dat

1 0
0.99667 0.00045
0.98707 0.00195
0.97194 0.00446
0.95169 0.0076
0.92645 0.01112
0.89647 0.01506
0.86218 0.01937
0.82405 0.02394
0.78255 0.02867
0.73817 0.03344
0.6914499 0.03811
0.64292 0.04256
0.5931 0.04666
0.54254 0.05029
0.49178 0.05334
0.44133 0.0557
0.39172 0.05727
0.34343 0.058
0.29692 0.0578
0.25262 0.05666
0.21095 0.05456
0.17226 0.05151
0.13689 0.04755
0.10513 0.04275
0.07725 0.03721
0.05344 0.03104
0.03388 0.02439
0.01867 0.01744
0.00786 0.01048
0.0015 0.0039
0.0015 0.0039
0 0
0.00022 -0.00139
0.00465 -0.00595
0.01447 -0.01055
0.02938 -0.01468
0.04931 -0.01824
0.07412 -0.02116
0.10363 -0.02346
0.13756 -0.02515
0.17559 -0.02629
0.2173 -0.0269
0.26227 -0.02705
0.30998 -0.0268
0.35989 -0.02619
0.41144 -0.02527
0.46401 -0.02409
0.51701 -0.02267
0.56979 -0.02105
0.62175 -0.01921
0.67227 -0.01718
0.72073 -0.0148
0.76689 -0.01194
0.81057 -0.0089
0.85121 -0.00612
0.88811 -0.00382
0.92063 -0.00209
0.94817 -0.00091
0.97026 -0.00019
0.98654 0.00012
0.99659 8E-5
1 0
